businessDate,calendarVersion,calendarDay,businessDay
2026-09-01,SIM-CAL-1,True,True
2026-09-02,SIM-CAL-1,True,True
2026-09-03,SIM-CAL-1,True,True
2026-09-04,SIM-CAL-1,True,True
2026-09-05,SIM-CAL-1,True,False
2026-09-06,SIM-CAL-1,True,False
2026-09-07,SIM-CAL-1,True,True
2026-09-08,SIM-CAL-1,True,True
2026-09-09,SIM-CAL-1,True,True
2026-09-10,SIM-CAL-1,True,True
2026-09-11,SIM-CAL-1,True,True
2026-09-12,SIM-CAL-1,True,False
2026-09-13,SIM-CAL-1,True,False
2026-09-14,SIM-CAL-1,True,True
2026-09-15,SIM-CAL-1,True,True
2026-09-16,SIM-CAL-1,True,True
2026-09-17,SIM-CAL-1,True,True
2026-09-18,SIM-CAL-1,True,True
2026-09-19,SIM-CAL-1,True,False
2026-09-20,SIM-CAL-1,True,False
2026-09-21,SIM-CAL-1,True,True
2026-09-22,SIM-CAL-1,True,True
2026-09-23,SIM-CAL-1,True,True
2026-09-24,SIM-CAL-1,True,True
2026-09-25,SIM-CAL-1,True,True
2026-09-26,SIM-CAL-1,True,False
2026-09-27,SIM-CAL-1,True,False
2026-09-28,SIM-CAL-1,True,True
2026-09-29,SIM-CAL-1,True,True
2026-09-30,SIM-CAL-1,True,True
