facilityId,customerId,approvedAmount,usedAmount,currency,asOf
SIM-F001,SIM-C001,20000000.00,12000000.00,CNY,2026-10-01
SIM-F002,SIM-C002,5000000.00,2000000.00,CNY,2026-10-01
SIM-F003,SIM-C003,5000000.00,2000000.00,CNY,2026-10-01
SIM-F004,SIM-C004,5000000.00,2000000.00,CNY,2026-10-01
SIM-F005,SIM-C005,5000000.00,2000000.00,CNY,2026-10-01
SIM-F006,SIM-C006,5000000.00,2000000.00,CNY,2026-10-01
SIM-F007,SIM-C007,5000000.00,2000000.00,CNY,2026-10-01
SIM-F008,SIM-C008,5000000.00,2000000.00,CNY,2026-10-01
SIM-F009,SIM-C009,5000000.00,2000000.00,CNY,2026-10-01
SIM-F010,SIM-C010,5000000.00,2000000.00,CNY,2026-10-01
SIM-F011,SIM-C011,5000000.00,2000000.00,CNY,2026-10-01
SIM-F012,SIM-C012,5000000.00,2000000.00,CNY,2026-10-01
