holdingId,customerId,productId,validFrom,validTo
SIM-H001,SIM-C001,SIM-P001,2026-09-01,2026-10-01
SIM-H002,SIM-C002,SIM-P002,2026-09-01,2026-10-01
SIM-H003,SIM-C003,SIM-P003,2026-09-01,2026-10-01
SIM-H004,SIM-C004,SIM-P004,2026-09-01,2026-10-01
SIM-H005,SIM-C005,SIM-P005,2026-09-01,2026-10-01
SIM-H006,SIM-C006,SIM-P006,2026-09-01,2026-10-01
SIM-H007,SIM-C007,SIM-P001,2026-09-01,2026-10-01
SIM-H008,SIM-C008,SIM-P002,2026-09-01,2026-10-01
SIM-H009,SIM-C009,SIM-P003,2026-09-01,2026-10-01
SIM-H010,SIM-C010,SIM-P004,2026-09-01,2026-10-01
SIM-H011,SIM-C011,SIM-P005,2026-09-01,2026-10-01
SIM-H012,SIM-C012,SIM-P006,2026-09-01,2026-10-01
