entryId,transactionId,ledgerAccount,direction,amount,currency
SIM-TX-A0011-01-E1,SIM-TX-A0011-01,SIM-A0011,CREDIT,100000.00,CNY
SIM-TX-A0011-01-E2,SIM-TX-A0011-01,SIM-CLEARING-CNY,DEBIT,100000.00,CNY
SIM-TX-A0011-02-E1,SIM-TX-A0011-02,SIM-A0011,DEBIT,200000.00,CNY
SIM-TX-A0011-02-E2,SIM-TX-A0011-02,SIM-CLEARING-CNY,CREDIT,200000.00,CNY
SIM-TX-A0011-03-E1,SIM-TX-A0011-03,SIM-A0011,CREDIT,5000.00,CNY
SIM-TX-A0011-03-E2,SIM-TX-A0011-03,SIM-CLEARING-CNY,DEBIT,5000.00,CNY
SIM-TX-A0011-04-E1,SIM-TX-A0011-04,SIM-A0011,DEBIT,5000.00,CNY
SIM-TX-A0011-04-E2,SIM-TX-A0011-04,SIM-CLEARING-CNY,CREDIT,5000.00,CNY
SIM-TX-A0011-05-E1,SIM-TX-A0011-05,SIM-A0011,CREDIT,7000.00,CNY
SIM-TX-A0011-05-E2,SIM-TX-A0011-05,SIM-CLEARING-CNY,DEBIT,7000.00,CNY
SIM-TX-A0011-06-E1,SIM-TX-A0011-06,SIM-A0011,DEBIT,7000.00,CNY
SIM-TX-A0011-06-E2,SIM-TX-A0011-06,SIM-CLEARING-CNY,CREDIT,7000.00,CNY
SIM-TX-A0012-01-E1,SIM-TX-A0012-01,SIM-A0012,CREDIT,10000.00,CNY
SIM-TX-A0012-01-E2,SIM-TX-A0012-01,SIM-CLEARING-CNY,DEBIT,10000.00,CNY
SIM-TX-A0012-02-E1,SIM-TX-A0012-02,SIM-A0012,DEBIT,10000.00,CNY
SIM-TX-A0012-02-E2,SIM-TX-A0012-02,SIM-CLEARING-CNY,CREDIT,10000.00,CNY
SIM-TX-A0012-03-E1,SIM-TX-A0012-03,SIM-A0012,CREDIT,20000.00,CNY
SIM-TX-A0012-03-E2,SIM-TX-A0012-03,SIM-CLEARING-CNY,DEBIT,20000.00,CNY
SIM-TX-A0012-04-E1,SIM-TX-A0012-04,SIM-A0012,DEBIT,20000.00,CNY
SIM-TX-A0012-04-E2,SIM-TX-A0012-04,SIM-CLEARING-CNY,CREDIT,20000.00,CNY
SIM-TX-A0012-05-E1,SIM-TX-A0012-05,SIM-A0012,CREDIT,30000.00,CNY
