transactionId,accountId,businessDate,signedAmount,currency,eventRef
SIM-TX-A0011-01,SIM-A0011,2026-09-06,100000.00,CNY,SIM-A0011/events/0
SIM-TX-A0011-02,SIM-A0011,2026-09-16,-200000.00,CNY,SIM-A0011/events/1
SIM-TX-A0011-03,SIM-A0011,2026-09-09,5000.00,CNY,SIM-A0011/events/2
SIM-TX-A0011-04,SIM-A0011,2026-09-09,-5000.00,CNY,SIM-A0011/events/3
SIM-TX-A0011-05,SIM-A0011,2026-09-20,7000.00,CNY,SIM-A0011/events/4
SIM-TX-A0011-06,SIM-A0011,2026-09-20,-7000.00,CNY,SIM-A0011/events/5
SIM-TX-A0012-01,SIM-A0012,2026-09-03,10000.00,CNY,SIM-A0012/events/0
SIM-TX-A0012-02,SIM-A0012,2026-09-03,-10000.00,CNY,SIM-A0012/events/1
SIM-TX-A0012-03,SIM-A0012,2026-09-12,20000.00,CNY,SIM-A0012/events/2
SIM-TX-A0012-04,SIM-A0012,2026-09-12,-20000.00,CNY,SIM-A0012/events/3
SIM-TX-A0012-05,SIM-A0012,2026-09-25,30000.00,CNY,SIM-A0012/events/4
SIM-TX-A0012-06,SIM-A0012,2026-09-25,-30000.00,CNY,SIM-A0012/events/5
SIM-TX-A0021-01,SIM-A0021,2026-09-04,20000.00,CNY,SIM-A0021/events/0
SIM-TX-A0021-02,SIM-A0021,2026-09-08,-5000.00,CNY,SIM-A0021/events/1
SIM-TX-A0021-03,SIM-A0021,2026-09-14,40000.00,CNY,SIM-A0021/events/2
SIM-TX-A0021-04,SIM-A0021,2026-09-19,-10000.00,CNY,SIM-A0021/events/3
SIM-TX-A0021-05,SIM-A0021,2026-09-24,15000.00,CNY,SIM-A0021/events/4
SIM-TX-A0021-06,SIM-A0021,2026-09-28,-20000.00,CNY,SIM-A0021/events/5
SIM-TX-A0022-01,SIM-A0022,2026-09-03,10000.00,USD,SIM-A0022/events/0
SIM-TX-A0022-02,SIM-A0022,2026-09-03,-10000.00,USD,SIM-A0022/events/1
SIM-TX-A0022-03,SIM-A0022,2026-09-12,20000.00,USD,SIM-A0022/events/2
SIM-TX-A0022-04,SIM-A0022,2026-09-12,-20000.00,USD,SIM-A0022/events/3
SIM-TX-A0022-05,SIM-A0022,2026-09-25,30000.00,USD,SIM-A0022/events/4
SIM-TX-A0022-06,SIM-A0022,2026-09-25,-30000.00,USD,SIM-A0022/events/5
SIM-TX-A0031-01,SIM-A0031,2026-09-04,20000.00,CNY,SIM-A0031/events/0
SIM-TX-A0031-02,SIM-A0031,2026-09-08,-5000.00,CNY,SIM-A0031/events/1
SIM-TX-A0031-03,SIM-A0031,2026-09-14,40000.00,CNY,SIM-A0031/events/2
SIM-TX-A0031-04,SIM-A0031,2026-09-19,-10000.00,CNY,SIM-A0031/events/3
SIM-TX-A0031-05,SIM-A0031,2026-09-24,15000.00,CNY,SIM-A0031/events/4
SIM-TX-A0031-06,SIM-A0031,2026-09-28,-20000.00,CNY,SIM-A0031/events/5
SIM-TX-A0032-01,SIM-A0032,2026-09-03,10000.00,CNY,SIM-A0032/events/0
SIM-TX-A0032-02,SIM-A0032,2026-09-03,-10000.00,CNY,SIM-A0032/events/1
