datasetId,simulationOnly,customerId,accountId,businessDate,currency,endOfDayBalance,snapshotId,eventTime,availableAt,ingestedAt,asOf,availability,authorization,coverage,freshness,retrievalOutcome,valueState
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-06-03,CNY,997000.00,SIM-SNAPSHOT-V2-20260912,2026-06-03,2026-06-04,2026-06-04,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-06-04,CNY,1003000.00,SIM-SNAPSHOT-V2-20260912,2026-06-04,2026-06-05,2026-06-05,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-06-05,CNY,1009000.00,SIM-SNAPSHOT-V2-20260912,2026-06-05,2026-06-06,2026-06-06,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-06-06,CNY,1015000.00,SIM-SNAPSHOT-V2-20260912,2026-06-06,2026-06-07,2026-06-07,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-06-07,CNY,1021000.00,SIM-SNAPSHOT-V2-20260912,2026-06-07,2026-06-08,2026-06-08,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-06-08,CNY,1027000.00,SIM-SNAPSHOT-V2-20260912,2026-06-08,2026-06-09,2026-06-09,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-06-09,CNY,1033000.00,SIM-SNAPSHOT-V2-20260912,2026-06-09,2026-06-10,2026-06-10,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-06-10,CNY,1032000.00,SIM-SNAPSHOT-V2-20260912,2026-06-10,2026-06-11,2026-06-11,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-06-11,CNY,1038000.00,SIM-SNAPSHOT-V2-20260912,2026-06-11,2026-06-12,2026-06-12,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-06-12,CNY,1044000.00,SIM-SNAPSHOT-V2-20260912,2026-06-12,2026-06-13,2026-06-13,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-06-13,CNY,1050000.00,SIM-SNAPSHOT-V2-20260912,2026-06-13,2026-06-14,2026-06-14,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-06-14,CNY,1056000.00,SIM-SNAPSHOT-V2-20260912,2026-06-14,2026-06-15,2026-06-15,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
SIM-DSV2-DAILY,True,SIM-C001,SIM-A0011,2026-06-15,CNY,1062000.00,SIM-SNAPSHOT-V2-20260912,2026-06-15,2026-06-16,2026-06-16,2026-09-12,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN
