datasetId,simulationOnly,customerId,periodStart,periodEnd,sourceRef,sourceName,sourceAuthority,eventTime,sourcePublishedAt,availableAt,ingestedAt,asOf,availableAtWithinAsOf,isLatestIncompletePeriod,invoiceAmount,taxPaid,socialInsuranceHeadcount,powerConsumptionKwh,newOrderAmount,taxIncentiveEffective,energySavingEffective,availability,authorization,coverage,freshness,retrievalOutcome,valueState,unavailableReason
SIM-DSV2-EXT,True,SIM-C001,2024-09-01,2024-10-01,SIM-EXT-SRC-001,SIM 虚构企业观察数据源（非真实机构）,SIM_SYNTHETIC,2024-10-01,2024-10-21,2024-10-21,2024-10-22,2026-09-12,True,False,24000000,800000,118,820000,23750000,False,False,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN,
SIM-DSV2-EXT,True,SIM-C001,2024-10-01,2024-11-01,SIM-EXT-SRC-001,SIM 虚构企业观察数据源（非真实机构）,SIM_SYNTHETIC,2024-11-01,2024-11-21,2024-11-21,2024-11-22,2026-09-12,True,False,24288000,809600,118,823000,24035000,False,False,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN,
SIM-DSV2-EXT,True,SIM-C001,2024-11-01,2024-12-01,SIM-EXT-SRC-001,SIM 虚构企业观察数据源（非真实机构）,SIM_SYNTHETIC,2024-12-01,2024-12-21,2024-12-21,2024-12-22,2026-09-12,True,False,24576000,819200,118,826000,24320000,False,False,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN,
SIM-DSV2-EXT,True,SIM-C001,2024-12-01,2025-01-01,SIM-EXT-SRC-001,SIM 虚构企业观察数据源（非真实机构）,SIM_SYNTHETIC,2025-01-01,2025-01-21,2025-01-21,2025-01-22,2026-09-12,True,False,24864000,828800,118,820000,24605000,False,False,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN,
SIM-DSV2-EXT,True,SIM-C001,2025-01-01,2025-02-01,SIM-EXT-SRC-001,SIM 虚构企业观察数据源（非真实机构）,SIM_SYNTHETIC,2025-02-01,2025-02-21,2025-02-21,2025-02-22,2026-09-12,True,False,24000000,800000,118,823000,23750000,False,False,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN,
SIM-DSV2-EXT,True,SIM-C001,2025-02-01,2025-03-01,SIM-EXT-SRC-001,SIM 虚构企业观察数据源（非真实机构）,SIM_SYNTHETIC,2025-03-01,2025-03-21,2025-03-21,2025-03-22,2026-09-12,True,False,24288000,809600,118,826000,24035000,False,False,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN,
SIM-DSV2-EXT,True,SIM-C001,2025-03-01,2025-04-01,SIM-EXT-SRC-001,SIM 虚构企业观察数据源（非真实机构）,SIM_SYNTHETIC,2025-04-01,2025-04-21,2025-04-21,2025-04-22,2026-09-12,True,False,24576000,819200,119,820000,24320000,False,False,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN,
SIM-DSV2-EXT,True,SIM-C001,2025-04-01,2025-05-01,SIM-EXT-SRC-001,SIM 虚构企业观察数据源（非真实机构）,SIM_SYNTHETIC,2025-05-01,2025-05-21,2025-05-21,2025-05-22,2026-09-12,True,False,24864000,828800,119,823000,24605000,False,False,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN,
SIM-DSV2-EXT,True,SIM-C001,2025-05-01,2025-06-01,SIM-EXT-SRC-001,SIM 虚构企业观察数据源（非真实机构）,SIM_SYNTHETIC,2025-06-01,2025-06-21,2025-06-21,2025-06-22,2026-09-12,True,False,24000000,800000,119,826000,23750000,False,False,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN,
SIM-DSV2-EXT,True,SIM-C001,2025-06-01,2025-07-01,SIM-EXT-SRC-001,SIM 虚构企业观察数据源（非真实机构）,SIM_SYNTHETIC,2025-07-01,2025-07-21,2025-07-21,2025-07-22,2026-09-12,True,False,24288000,809600,119,820000,24035000,False,False,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN,
SIM-DSV2-EXT,True,SIM-C001,2025-07-01,2025-08-01,SIM-EXT-SRC-001,SIM 虚构企业观察数据源（非真实机构）,SIM_SYNTHETIC,2025-08-01,2025-08-21,2025-08-21,2025-08-22,2026-09-12,True,False,24576000,819200,119,823000,24320000,False,False,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN,
SIM-DSV2-EXT,True,SIM-C001,2025-08-01,2025-09-01,SIM-EXT-SRC-001,SIM 虚构企业观察数据源（非真实机构）,SIM_SYNTHETIC,2025-09-01,2025-09-21,2025-09-21,2025-09-22,2026-09-12,True,False,24864000,828800,119,826000,24605000,False,False,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN,
SIM-DSV2-EXT,True,SIM-C001,2025-09-01,2025-10-01,SIM-EXT-SRC-001,SIM 虚构企业观察数据源（非真实机构）,SIM_SYNTHETIC,2025-10-01,2025-10-21,2025-10-21,2025-10-22,2026-09-12,True,False,24000000,800000,120,820000,23750000,False,False,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN,
SIM-DSV2-EXT,True,SIM-C001,2025-10-01,2025-11-01,SIM-EXT-SRC-001,SIM 虚构企业观察数据源（非真实机构）,SIM_SYNTHETIC,2025-11-01,2025-11-21,2025-11-21,2025-11-22,2026-09-12,True,False,24288000,809600,120,823000,24035000,False,False,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN,
SIM-DSV2-EXT,True,SIM-C001,2025-11-01,2025-12-01,SIM-EXT-SRC-001,SIM 虚构企业观察数据源（非真实机构）,SIM_SYNTHETIC,2025-12-01,2025-12-21,2025-12-21,2025-12-22,2026-09-12,True,False,24576000,819200,120,826000,24320000,False,False,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN,
SIM-DSV2-EXT,True,SIM-C001,2025-12-01,2026-01-01,SIM-EXT-SRC-001,SIM 虚构企业观察数据源（非真实机构）,SIM_SYNTHETIC,2026-01-01,2026-01-21,2026-01-21,2026-01-22,2026-09-12,True,False,24864000,828800,120,820000,24605000,False,False,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN,
SIM-DSV2-EXT,True,SIM-C001,2026-01-01,2026-02-01,SIM-EXT-SRC-001,SIM 虚构企业观察数据源（非真实机构）,SIM_SYNTHETIC,2026-02-01,2026-02-21,2026-02-21,2026-02-22,2026-09-12,True,False,24000000,800000,120,823000,23750000,False,False,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN,
SIM-DSV2-EXT,True,SIM-C001,2026-02-01,2026-03-01,SIM-EXT-SRC-001,SIM 虚构企业观察数据源（非真实机构）,SIM_SYNTHETIC,2026-03-01,2026-03-21,2026-03-21,2026-03-22,2026-09-12,True,False,24288000,809600,120,826000,24035000,False,False,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN,
SIM-DSV2-EXT,True,SIM-C001,2026-03-01,2026-04-01,SIM-EXT-SRC-001,SIM 虚构企业观察数据源（非真实机构）,SIM_SYNTHETIC,2026-04-01,2026-04-21,2026-04-21,2026-04-22,2026-09-12,True,False,25200000,551250,121,808000,30975000,True,True,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN,
