datasetId,simulationOnly,customerId,periodStart,periodEnd,intervalConvention,calendarVersion,businessTimezone,currency,amountUnit,eventTime,sourcePublishedAt,availableAt,ingestedAt,asOf,availableAtWithinAsOf,isLatestIncompletePeriod,revenue,costOfSales,netProfit,totalAssets,totalLiabilities,debtAssetRatio,operatingCashFlow,accountsReceivable,inventory,accountsPayable,arTurnoverDays,invTurnoverDays,apTurnoverDays,cashConversionCycle,availability,authorization,coverage,freshness,retrievalOutcome,valueState,unavailableReason,note
SIM-DSV2-MONTHLY,True,SIM-C001,2024-09-01,2024-10-01,LEFT_CLOSED_RIGHT_OPEN,SIM-CAL-1.0.0,Asia/Shanghai,CNY,CNY,2024-10-01,2024-10-16,2024-10-16,2024-10-17,2026-09-12,True,False,25000000,19500000,1500000,158000000,82160000,0.52,1250000,50000000,29250000,26000000,60,45,40,65,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN,,
SIM-DSV2-MONTHLY,True,SIM-C001,2024-10-01,2024-11-01,LEFT_CLOSED_RIGHT_OPEN,SIM-CAL-1.0.0,Asia/Shanghai,CNY,CNY,2024-11-01,2024-11-16,2024-11-16,2024-11-17,2026-09-12,True,False,25300000,19734000,1518000,158900000,82628000,0.52,1265000,50600000,29601000,26312000,60,45,40,65,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN,,
SIM-DSV2-MONTHLY,True,SIM-C001,2024-11-01,2024-12-01,LEFT_CLOSED_RIGHT_OPEN,SIM-CAL-1.0.0,Asia/Shanghai,CNY,CNY,2024-12-01,2024-12-16,2024-12-16,2024-12-17,2026-09-12,True,False,25600000,19968000,1536000,159800000,83096000,0.52,1280000,51200000,29952000,26624000,60,45,40,65,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN,,
SIM-DSV2-MONTHLY,True,SIM-C001,2024-12-01,2025-01-01,LEFT_CLOSED_RIGHT_OPEN,SIM-CAL-1.0.0,Asia/Shanghai,CNY,CNY,2025-01-01,2025-01-16,2025-01-16,2025-01-17,2026-09-12,True,False,25900000,20202000,1554000,160700000,83564000,0.52,1295000,51800000,30303000,26936000,60,45,40,65,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN,,
SIM-DSV2-MONTHLY,True,SIM-C001,2025-01-01,2025-02-01,LEFT_CLOSED_RIGHT_OPEN,SIM-CAL-1.0.0,Asia/Shanghai,CNY,CNY,2025-02-01,2025-02-16,2025-02-16,2025-02-17,2026-09-12,True,False,25000000,19500000,1500000,161600000,84032000,0.52,1250000,50000000,29250000,26000000,60,45,40,65,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN,,
SIM-DSV2-MONTHLY,True,SIM-C001,2025-02-01,2025-03-01,LEFT_CLOSED_RIGHT_OPEN,SIM-CAL-1.0.0,Asia/Shanghai,CNY,CNY,2025-03-01,2025-03-16,2025-03-16,2025-03-17,2026-09-12,True,False,25300000,19734000,1518000,162500000,84500000,0.52,1265000,50600000,29601000,26312000,60,45,40,65,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN,,
SIM-DSV2-MONTHLY,True,SIM-C001,2025-03-01,2025-04-01,LEFT_CLOSED_RIGHT_OPEN,SIM-CAL-1.0.0,Asia/Shanghai,CNY,CNY,2025-04-01,2025-04-16,2025-04-16,2025-04-17,2026-09-12,True,False,25600000,19968000,1536000,163400000,84968000,0.52,1280000,51200000,29952000,26624000,60,45,40,65,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN,,
SIM-DSV2-MONTHLY,True,SIM-C001,2025-04-01,2025-05-01,LEFT_CLOSED_RIGHT_OPEN,SIM-CAL-1.0.0,Asia/Shanghai,CNY,CNY,2025-05-01,2025-05-16,2025-05-16,2025-05-17,2026-09-12,True,False,25900000,20202000,1554000,164300000,85436000,0.52,1295000,51800000,30303000,26936000,60,45,40,65,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN,,
SIM-DSV2-MONTHLY,True,SIM-C001,2025-05-01,2025-06-01,LEFT_CLOSED_RIGHT_OPEN,SIM-CAL-1.0.0,Asia/Shanghai,CNY,CNY,2025-06-01,2025-06-16,2025-06-16,2025-06-17,2026-09-12,True,False,25000000,19500000,1500000,165200000,85904000,0.52,1250000,50000000,29250000,26000000,60,45,40,65,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN,,
SIM-DSV2-MONTHLY,True,SIM-C001,2025-06-01,2025-07-01,LEFT_CLOSED_RIGHT_OPEN,SIM-CAL-1.0.0,Asia/Shanghai,CNY,CNY,2025-07-01,2025-07-16,2025-07-16,2025-07-17,2026-09-12,True,False,25300000,19734000,1518000,166100000,86372000,0.52,1265000,50600000,29601000,26312000,60,45,40,65,AVAILABLE,AUTHORIZED_SIM,FULL_PERIOD,WITHIN_POLICY,SUCCESS,KNOWN,,
